solvent_original,canonical_solvent_smiles,is_valid_rdkit,is_environment_label,deep4chem_row_count,molecular_weight,exact_molecular_weight,logp,molar_refractivity,tpsa,num_hbond_donors,num_hbond_acceptors,num_rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,num_heteroatoms,fraction_csp3,formal_charge,num_valence_electrons,dielectric_constant,refractive_index,dipole_moment,hbond_donor,hbond_acceptor,polarity_ET30,existing_solvent_match
CC1COC(=O)O1,CC1COC(=O)O1,True,False,19,102.08899999999998,102.031694052,0.5417000000000001,21.89499999999999,35.53,0,3,0,1,0,7,3,0.75,0,40,,,,,,,
CC(C)OC(C)C,CC(C)OC(C)C,True,False,18,102.17699999999999,102.104465068,1.8197999999999999,31.356999999999978,9.23,0,1,2,0,0,7,1,1.0,0,44,3.88,1.368,1.13,0.0,0.657,34.1,Diisopropyl ether
Clc1ccccc1,Clc1ccccc1,True,False,17,112.55899999999997,112.00797784,2.34,31.451999999999998,0.0,0,0,0,1,1,7,1,0.0,0,36,5.62,1.5248,1.69,0.0,0.182,36.8,chlorobenzene
N#Cc1ccccc1,N#Cc1ccccc1,True,False,17,103.12399999999997,103.04219916,1.5582799999999999,31.156999999999996,23.79,0,1,0,1,1,8,1,0.0,0,38,,,,,,,
CC(C)CC(C)(C)C,CC(C)CC(C)(C)C,True,False,16,114.23199999999999,114.14085057599999,3.0786000000000016,38.91,0.0,0,0,1,0,0,8,0,1.0,0,50,,,,,,,
CNC=O,CNC=O,True,False,16,59.068000000000005,59.03711378,-0.6378000000000001,15.123700000000001,29.1,1,1,1,0,0,4,2,0.5,0,24,182.0,1.432,3.83,0.031,0.613,54.1,N-Methylformamide
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,True,False,15,226.44799999999992,226.26605108799998,6.487600000000007,75.98600000000008,0.0,0,0,13,0,0,16,0,1.0,0,98,,,,,,,
CCCCCCCO,CCCCCCCO,True,False,15,116.204,116.120115132,1.9491,35.84479999999999,20.23,1,1,5,0,0,8,1,1.0,0,50,,,,,,,
CC(=O)N(C)C,CC(=O)N(C)C,True,False,14,87.122,87.068413908,0.09450000000000003,24.36799999999999,20.310000000000002,0,1,0,0,0,6,2,0.75,0,36,37.8,1.438,3.72,0.028,0.65,42.9,DMA
CCCC#N,CCCC#N,True,False,14,69.107,69.057849224,1.31008,20.520999999999994,23.79,0,1,1,0,0,5,1,0.75,0,28,,,,,,,
CCCCOC(C)=O,CCCCOC(C)=O,True,False,14,116.15999999999998,116.083729624,1.3496000000000001,31.540999999999983,26.3,0,2,3,0,0,8,2,0.8333333333333334,0,48,5.01,1.394,1.84,0.0,0.525,38.5,Butyl acetate
ClC=C(Cl)Cl,ClC=C(Cl)Cl,True,False,14,131.389,129.914383072,2.5017000000000005,25.642,0.0,0,0,0,0,0,5,3,0.0,0,30,,,,,,,
[2H]O[2H],[2H]O[2H],True,False,14,20.027203556,20.023118176,-0.8247,3.6138,31.5,0,0,0,0,0,1,1,0.0,0,8,,,,,,,
CCCCCCCCCCCCCC,CCCCCCCCCCCCCC,True,False,13,198.39399999999995,198.23475095999999,5.707400000000006,66.75200000000007,0.0,0,0,11,0,0,14,0,1.0,0,86,,,,,,,
CCCCCCCC,CCCCCCCC,True,False,12,114.232,114.14085057599999,3.3668000000000022,39.05,0.0,0,0,5,0,0,8,0,1.0,0,50,,,,,,,
CC(=O)C(C)(C)C,CC(=O)C(C)(C)C,True,False,11,100.16099999999999,100.088815004,1.6215,30.13599999999998,17.07,0,1,0,0,0,7,1,0.8333333333333334,0,42,,,,,,,
CC(O)CO,CC(O)CO,True,False,11,76.095,76.052429496,-0.6405000000000001,18.7666,40.46,2,2,1,0,0,5,2,1.0,0,32,32.0,1.4324,2.27,0.475,0.598,54.1,"1,2-propanediol"
CCC#N,CCC#N,True,False,10,55.07999999999999,55.042199159999996,0.91998,15.904000000000002,23.79,0,1,0,0,0,4,1,0.6666666666666666,0,22,,,,,,,
CCCCCCCCCCCO,CCCCCCCCCCCO,True,False,10,172.31199999999998,172.182715388,3.5095000000000023,54.31280000000004,20.23,1,1,9,0,0,12,1,1.0,0,74,,,,,,,
COCCOC,COCCOC,True,False,10,90.122,90.06807956,0.2792,23.751999999999992,18.46,0,2,3,0,0,6,2,1.0,0,38,,,,,,,
CCC(C)CC,CCC(C)CC,True,False,9,86.178,86.109550448,2.442500000000001,29.74599999999998,0.0,0,0,2,0,0,6,0,1.0,0,38,,,,,,,
CCCCCCCCC,CCCCCCCCC,True,False,9,128.259,128.15650064,3.7569000000000026,43.667000000000016,0.0,0,0,6,0,0,9,0,1.0,0,56,,,,,,,
CCCCCCCCCC,CCCCCCCCCC,True,False,9,142.286,142.172150704,4.147000000000004,48.28400000000003,0.0,0,0,7,0,0,10,0,1.0,0,62,,,,,,,
CN(C)P(=O)(N(C)C)N(C)C,CN(C)P(=O)(N(C)C)N(C)C,True,False,9,179.204,179.118748826,0.7792999999999999,48.66750000000003,26.790000000000006,0,1,3,0,0,11,5,1.0,0,68,,,,,,,
CCC(C)C,CCC(C)C,True,False,8,72.151,72.093900384,2.0524,25.12899999999999,0.0,0,0,1,0,0,5,0,1.0,0,32,1.84,1.3547,0.0,0.0,0.053,30.9,2-Methylbutane
CCCCCl,CCCCCl,True,False,8,92.56899999999999,92.039277968,2.0253,25.62799999999999,0.0,0,0,2,0,0,5,1,1.0,0,32,,,,,,,
COC(C)=O,COC(C)=O,True,False,8,74.079,74.036779432,0.17930000000000001,17.689999999999998,26.3,0,2,0,0,0,5,2,0.6666666666666666,0,30,6.68,1.361,1.72,0.0,0.527,38.9,Methyl acetate
OC(C(F)(F)F)C(F)(F)F,OC(C(F)(F)F)C(F)(F)F,True,False,8,168.03599999999997,168.000984004,1.4719,18.1168,20.23,1,1,0,0,0,10,7,1.0,0,62,,,,,,,
Cc1ccc(C)cc1,Cc1ccc(C)cc1,True,False,7,106.16799999999999,106.07825032,2.30344,35.916,0.0,0,0,0,1,1,8,0,0.25,0,42,,,,,,,
Cc1ccccc1C,Cc1ccccc1C,True,False,7,106.16799999999999,106.07825032,2.30344,35.916,0.0,0,0,0,1,1,8,0,0.25,0,42,,,,,,,
N#Cc1ccc2c(c1)c1ccccc1n2-c1cccc(-n2c3ccccc3c3ccccc32)c1,N#Cc1ccc2c(c1)c1ccccc1n2-c1cccc(-n2c3ccccc3c3ccccc32)c1,True,False,7,433.5140000000001,433.15789760800004,7.752480000000005,139.83499999999984,33.65,0,1,2,7,7,34,3,0.0,0,158,,,,,,,
O=C1CCCCC1,O=C1CCCCC1,True,False,7,98.14500000000001,98.07316494,1.5196,28.091999999999985,17.07,0,1,0,1,0,7,1,0.8333333333333334,0,40,,,,,,,
OC1CCCCC1,OC1CCCCC1,True,False,7,100.161,100.088815004,1.3114,29.091799999999985,20.23,1,1,0,1,0,7,1,1.0,0,42,,,,,,,
S=C=S,S=C=S,True,False,7,76.14500000000001,75.944142,1.0181,20.189,0.0,0,2,0,0,0,3,2,0.0,0,16,,,,,,,
CC(C)(C)c1ccc(-n2c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)cc3c3cc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)ccc32)cc1,CC(C)(C)c1ccc(-n2c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)cc3c3cc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)ccc32)cc1,True,False,6,816.2090000000002,815.340353628,8.836000000000004,266.7129999999995,4.93,0,0,9,10,10,61,3,0.06896551724137931,0,294,,,,,,,
CCC(C)=O,CCC(C)=O,True,False,6,72.10699999999999,72.057514876,0.9854,20.971999999999994,17.07,0,1,1,0,0,5,1,0.75,0,30,,,,,,,
CN1CCCC1=O,CN1CCCC1=O,True,False,6,99.133,99.068413908,0.23859999999999992,26.870999999999988,20.310000000000002,0,1,0,1,0,7,2,0.8,0,40,32.2,1.47,4.09,0.024,0.613,48.0,1-methyl-2-pyrrolidinone
O=P(c1ccccc1)(c1ccccc1)c1cccc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)n1,O=P(c1ccccc1)(c1ccccc1)c1cccc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)n1,True,False,6,685.7670000000002,685.2282992739999,10.58219999999999,217.74349999999956,39.82,0,2,6,10,10,52,5,0.0,0,246,,,,,,,
CCCCCCCCCCCC,CCCCCCCCCCCC,True,False,5,170.33999999999997,170.203450832,4.9272000000000045,57.51800000000005,0.0,0,0,9,0,0,12,0,1.0,0,74,,,,,,,
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCCCl,True,False,5,260.8929999999999,260.227078736,6.706500000000006,81.03200000000007,0.0,0,0,14,0,0,17,1,1.0,0,104,,,,,,,
CCCCCCCCCCCCO,CCCCCCCCCCCCO,True,False,5,186.33899999999997,186.198365452,3.8996000000000035,58.92980000000006,20.23,1,1,10,0,0,13,1,1.0,0,80,,,,,,,
c1cc(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)c1,c1cc(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)c1,True,False,5,409.49200000000013,409.15789760800004,7.275800000000005,132.91499999999996,22.75,0,1,2,7,7,32,3,0.0,0,150,,,,,,,
Brc1ccccc1,Brc1ccccc1,True,False,4,157.01,155.95746226,2.4491000000000005,34.142,0.0,0,0,0,1,1,7,1,0.0,0,36,5.4,1.5598,1.57,0.0,0.192,36.6,Bromobenzene
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,True,False,4,138.254,138.140850576,3.3668000000000022,43.91600000000002,0.0,0,0,0,2,0,10,0,1.0,0,58,,,,,,,
CCCCC(CC)n1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21,CCCCC(CC)n1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21,True,False,4,595.7900000000003,595.298748184,12.129999999999978,196.97499999999948,14.79,0,0,7,9,9,46,3,0.16279069767441862,0,224,,,,,,,
CCCCCCCCCO,CCCCCCCCCO,True,False,4,144.258,144.15141526,2.7293000000000016,45.078800000000015,20.23,1,1,7,0,0,10,1,1.0,0,62,,,,,,,
CCCCl,CCCCl,True,False,4,78.542,78.023627904,1.6352,21.010999999999996,0.0,0,0,1,0,0,4,1,1.0,0,26,,,,,,,
CN(C)C(=O)N(C)C,CN(C)C(=O)N(C)C,True,False,4,116.16399999999999,116.094963004,0.22960000000000003,32.76999999999998,23.550000000000004,0,1,0,0,0,8,3,0.8,0,48,,,,,,,
COc1ccccc1,COc1ccccc1,True,False,4,108.13999999999997,108.057514876,1.6952,32.99399999999999,9.23,0,1,1,1,1,8,1,0.14285714285714285,0,42,,,,,,,
Cc1ccccc1-c1cccc(Oc2cc3c4c(c2)Oc2cc(-c5ccccc5C)ccc2B4c2ccc(-c4ccccc4C)cc2O3)c1,Cc1ccccc1-c1cccc(Oc2cc3c4c(c2)Oc2cc(-c5ccccc5C)ccc2B4c2ccc(-c4ccccc4C)cc2O3)c1,True,False,4,632.5680000000002,632.252275316,10.132759999999996,201.1649999999995,27.69,0,3,5,9,7,49,4,0.06666666666666667,0,234,,,,,,,
Clc1ccccc1Cl,Clc1ccccc1Cl,True,False,4,147.00399999999996,145.969005488,2.9934000000000003,36.46200000000001,0.0,0,0,0,1,1,8,2,0.0,0,42,,,,,,,
O=C1CCCO1,O=C1CCCO1,True,False,4,86.09,86.036779432,0.3234,20.192999999999994,26.3,0,2,0,1,0,6,2,0.75,0,34,,,,,,,
O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1,True,False,4,123.11099999999996,123.0320284,1.5948,33.0964,43.14,0,2,1,1,1,9,3,0.0,0,46,,,,,,,
c1ccc(-n2c(-c3c(-n4c5ccccc5c5ccccc54)cccc3-n3c4ccccc4c4ccccc43)nc3ccccc32)cc1,c1ccc(-n2c(-c3c(-n4c5ccccc5c5ccccc54)cccc3-n3c4ccccc4c4ccccc43)nc3ccccc32)cc1,True,False,4,600.7250000000003,600.2313968960001,10.886699999999985,195.1839999999996,27.68,0,1,4,10,10,47,4,0.0,0,220,,,,,,,
c1ccc([Si](c2ccccc2)(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,c1ccc([Si](c2ccccc2)(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,True,False,4,666.9000000000002,666.2491256180001,9.258199999999999,218.73599999999948,9.86,0,0,6,10,10,51,3,0.0,0,240,,,,,,,
C=CC#N,C=CC#N,True,False,3,53.06399999999999,53.026549096,0.6959799999999999,15.81,23.79,0,1,0,0,0,4,1,0.0,0,20,,,,,,,
CC(=O)OC(C)=O,CC(=O)OC(C)=O,True,False,3,102.089,102.031694052,0.09600000000000009,22.44699999999999,43.370000000000005,0,3,0,0,0,7,3,0.5,0,40,,,,,,,
CCCC(C)=O,CCCC(C)=O,True,False,3,86.13399999999999,86.07316494,1.3755,25.588999999999988,17.07,0,1,2,0,0,6,1,0.8,0,36,15.4,1.39,2.7,0.01,0.537,41.1,2-Pentanone
CCCCCCC(C)O,CCCCCCC(C)O,True,False,3,130.231,130.135765196,2.3376000000000006,40.439800000000005,20.23,1,1,5,0,0,9,1,1.0,0,56,,,,,,,
CCCCCCCCCCCCC,CCCCCCCCCCCCC,True,False,3,184.36699999999996,184.219100896,5.317300000000005,62.13500000000006,0.0,0,0,10,0,0,13,0,1.0,0,80,,,,,,,
CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC,True,False,3,212.42099999999994,212.25040102399998,6.097500000000006,71.36900000000007,0.0,0,0,12,0,0,15,0,1.0,0,92,,,,,,,
CCCOCCC,CCCOCCC,True,False,3,102.17699999999999,102.104465068,1.823,31.400999999999982,9.23,0,1,4,0,0,7,1,1.0,0,44,,,,,,,
CCOC(=O)c1ccccc1,CCOC(=O)c1ccccc1,True,False,3,150.177,150.06807956,1.8633,42.39850000000003,26.3,0,2,2,1,1,11,2,0.2222222222222222,0,58,,,,,,,
C[N+](=O)[O-],C[N+](=O)[O-],True,False,3,61.040000000000006,61.016378336,-0.10710000000000008,12.9184,43.14,0,2,0,0,0,4,3,1.0,0,24,,,,,,,
c1ccc2c(c1)c1ccccc1n2P1(n2c3ccccc3c3ccccc32)=NP(n2c3ccccc3c3ccccc32)(n2c3ccccc3c3ccccc32)=NP(n2c3ccccc3c3ccccc32)(n2c3ccccc3c3ccccc32)=N1,c1ccc2c(c1)c1ccccc1n2P1(n2c3ccccc3c3ccccc32)=NP(n2c3ccccc3c3ccccc32)(n2c3ccccc3c3ccccc32)=NP(n2c3ccccc3c3ccccc32)(n2c3ccccc3c3ccccc32)=N1,True,False,3,1132.1609999999998,1131.3245524259999,21.77580000000004,357.09600000000086,66.66,0,3,6,19,18,84,12,0.0,0,396,,,,,,,
C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,True,False,2,674.8730000000003,674.2504180880001,12.971699999999975,217.52099999999947,32.260000000000005,0,5,10,8,8,51,5,0.0,0,244,,,,,,,
C1COCCN1,C1COCCN1,True,False,2,87.122,87.068413908,-0.3938000000000001,23.688699999999994,21.259999999999998,1,2,0,1,0,6,2,1.0,0,36,,,,,,,
CC(C)c1cc(C(C)C)c(-c2ccc(-n3c4ccccc4n4c5ccccc5nc34)nc2)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccc(-n3c4ccccc4n4c5ccccc5nc34)nc2)c(C(C)C)c1,True,False,2,486.6630000000002,486.27834708800003,8.863600000000002,155.02899999999968,35.120000000000005,0,2,5,6,6,37,4,0.2727272727272727,0,186,,,,,,,
CCC(=O)CC,CCC(=O)CC,True,False,2,86.134,86.07316494,1.3755,25.588999999999988,17.07,0,1,2,0,0,6,1,0.8,0,36,,,,,,,
CCC(C)(C)O,CCC(C)(C)O,True,False,2,88.14999999999998,88.088815004,1.1673,26.58879999999999,20.23,1,1,1,0,0,6,1,1.0,0,38,5.8,1.405,1.7,0.145,0.928,41.0,Tert-pentanol
CCC(C)O,CCC(C)O,True,False,2,74.12299999999999,74.07316494,0.7771999999999999,21.971799999999995,20.23,1,1,1,0,0,5,1,1.0,0,32,,,,,,,
CCCC(C)C,CCCC(C)C,True,False,2,86.178,86.109550448,2.442500000000001,29.74599999999998,0.0,0,0,2,0,0,6,0,1.0,0,38,,,,,,,
CCCOC(C)=O,CCCOC(C)=O,True,False,2,102.13299999999998,102.06807956,0.9595,26.923999999999985,26.3,0,2,2,0,0,7,2,0.8,0,42,,,,,,,
